"","city","state","city_size","mode","n","percent","moe","state_abb","state_region"
"791","Marysville city","Washington","Small","Bike",63,0.2,0.2,"WA","West"
"792","Maryville city","Tennessee","Small","Bike",37,0.3,0.3,"TN","South"
"793","Mason City city","Iowa","Small","Bike",138,1,0.6,"IA","North Central"
"794","Mason city","Ohio","Small","Bike",11,0.1,0.1,"OH","North Central"
"795","Massillon city","Ohio","Small","Bike",12,0.1,0.1,"OH","North Central"
"796","Matthews town","North Carolina","Small","Bike",14,0.1,0.2,"NC","South"
"797","Mauldin city","South Carolina","Small","Bike",0,0,0.3,"SC","South"
"798","Maywood city","California","Small","Bike",177,1.6,0.9,"CA","West"
"799","Maywood village","Illinois","Small","Bike",0,0,0.3,"IL","North Central"
"800","McDonough city","Georgia","Small","Bike",40,0.5,0.7,"GA","South"
"801","McHenry city","Illinois","Small","Bike",13,0.1,0.2,"IL","North Central"
"802","McMinnville city","Oregon","Small","Bike",283,2.1,1.3,"OR","West"
"803","Medford city","Massachusetts","Small","Bike",542,1.7,0.5,"MA","Northeast"
"804","Medford city","Oregon","Small","Bike",349,1.1,0.5,"OR","West"
"805","Medina city","Ohio","Small","Bike",25,0.2,0.2,"OH","North Central"
"806","Melbourne city","Florida","Small","Bike",258,0.8,0.4,"FL","South"
"807","Melrose city","Massachusetts","Small","Bike",157,1.1,0.7,"MA","Northeast"
"808","Melrose Park village","Illinois","Small","Bike",25,0.2,0.3,"IL","North Central"
"809","Menifee city","California","Small","Bike",95,0.3,0.3,"CA","West"
"810","Menlo Park city","California","Small","Bike",1186,7.6,1.6,"CA","West"
"811","Menomonee Falls village","Wisconsin","Small","Bike",0,0,0.1,"WI","North Central"
"812","Mentor city","Ohio","Small","Bike",31,0.1,0.2,"OH","North Central"
"813","Mequon city","Wisconsin","Small","Bike",32,0.3,0.4,"WI","North Central"
"814","Merced city","California","Small","Bike",165,0.6,0.3,"CA","West"
"815","Mercer Island city","Washington","Small","Bike",84,0.8,0.6,"WA","West"
"816","Meriden city","Connecticut","Small","Bike",49,0.2,0.2,"CT","Northeast"
"817","Meridian city","Idaho","Small","Bike",85,0.3,0.2,"ID","West"
"818","Meridian city","Mississippi","Small","Bike",0,0,0.2,"MS","South"
"819","Merrillville town","Indiana","Small","Bike",14,0.1,0.1,"IN","North Central"
"820","Methuen Town city","Massachusetts","Small","Bike",11,0,0.1,"MA","Northeast"
"821","Miami Beach city","Florida","Small","Bike",2449,5.1,1.2,"FL","South"
"822","Miami Lakes town","Florida","Small","Bike",0,0,0.3,"FL","South"
"823","Miamisburg city","Ohio","Small","Bike",0,0,0.3,"OH","North Central"
"824","Michigan City city","Indiana","Small","Bike",36,0.3,0.4,"IN","North Central"
"825","Middletown city","Connecticut","Small","Bike",44,0.2,0.2,"CT","Northeast"
"826","Middletown city","New York","Small","Bike",48,0.4,0.4,"NY","Northeast"
"827","Middletown city","Ohio","Small","Bike",20,0.1,0.1,"OH","North Central"
"828","Midland city","Michigan","Small","Bike",265,1.4,0.6,"MI","North Central"
"829","Midvale city","Utah","Small","Bike",28,0.2,0.2,"UT","West"
"830","Midwest City city","Oklahoma","Small","Bike",127,0.5,0.3,"OK","South"
"831","Milford city (balance)","Connecticut","Small","Bike",28,0.1,0.1,"CT","Northeast"
"832","Millbrae city","California","Small","Bike",20,0.2,0.2,"CA","West"
"833","Millville city","New Jersey","Small","Bike",50,0.4,0.4,"NJ","Northeast"
"834","Milpitas city","California","Small","Bike",39,0.1,0.1,"CA","West"
"835","Milton city","Georgia","Small","Bike",0,0,0.3,"GA","South"
"836","Milwaukie city","Oregon","Small","Bike",82,0.8,0.5,"OR","West"
"837","Minnetonka city","Minnesota","Small","Bike",138,0.5,0.2,"MN","North Central"
"838","Minot city","North Dakota","Small","Bike",128,0.6,0.4,"ND","North Central"
"839","Mint Hill town","North Carolina","Small","Bike",0,0,0.4,"NC","South"
"840","Mishawaka city","Indiana","Small","Bike",133,0.6,0.3,"IN","North Central"
"841","Mission city","Texas","Small","Bike",40,0.1,0.2,"TX","South"
"842","Mission Viejo city","California","Small","Bike",70,0.2,0.1,"CA","West"
"843","Missoula city","Montana","Small","Bike",2160,6.2,0.9,"MT","West"
"844","Missouri City city","Texas","Small","Bike",0,0,0.1,"TX","South"
"845","Moline city","Illinois","Small","Bike",88,0.4,0.3,"IL","North Central"
"846","Monroe city","Louisiana","Small","Bike",71,0.4,0.3,"LA","South"
"847","Monroe city","Michigan","Small","Bike",24,0.3,0.3,"MI","North Central"
"848","Monroe city","North Carolina","Small","Bike",19,0.1,0.2,"NC","South"
"849","Monroeville municipality","Pennsylvania","Small","Bike",0,0,0.2,"PA","Northeast"
"850","Monrovia city","California","Small","Bike",133,0.7,0.5,"CA","West"
"851","Montclair city","California","Small","Bike",56,0.4,0.4,"CA","West"
"852","Montebello city","California","Small","Bike",64,0.3,0.2,"CA","West"
"853","Monterey city","California","Small","Bike",477,3.1,1,"CA","West"
"854","Monterey Park city","California","Small","Bike",113,0.4,0.3,"CA","West"
"855","Moore city","Oklahoma","Small","Bike",22,0.1,0.1,"OK","South"
"856","Mooresville town","North Carolina","Small","Bike",13,0.1,0.2,"NC","South"
"857","Moorhead city","Minnesota","Small","Bike",177,0.9,0.4,"MN","North Central"
"858","Moorpark city","California","Small","Bike",29,0.2,0.2,"CA","West"
"859","Morgan Hill city","California","Small","Bike",142,0.8,0.5,"CA","West"
"860","Morgantown city","West Virginia","Small","Bike",72,0.6,0.5,"WV","South"
"861","Morristown city","Tennessee","Small","Bike",13,0.1,0.2,"TN","South"
"862","Morrisville town","North Carolina","Small","Bike",62,0.6,0.5,"NC","South"
"863","Morton Grove village","Illinois","Small","Bike",60,0.5,0.4,"IL","North Central"
"864","Moscow city","Idaho","Small","Bike",581,5,1.6,"ID","West"
"865","Moses Lake city","Washington","Small","Bike",10,0.1,0.2,"WA","West"
"866","Mount Juliet city","Tennessee","Small","Bike",0,0,0.3,"TN","South"
"867","Mount Pleasant city","Michigan","Small","Bike",373,3.4,1.2,"MI","North Central"
"868","Mount Pleasant town","South Carolina","Small","Bike",261,0.8,0.4,"SC","South"
"869","Mount Pleasant village","Wisconsin","Small","Bike",0,0,0.2,"WI","North Central"
"870","Mount Prospect village","Illinois","Small","Bike",160,0.6,0.3,"IL","North Central"
"871","Mount Vernon city","New York","Small","Bike",0,0,0.1,"NY","Northeast"
"872","Mount Vernon city","Washington","Small","Bike",70,0.5,0.5,"WA","West"
"873","Mountain Brook city","Alabama","Small","Bike",35,0.4,0.4,"AL","South"
"874","Mountain View city","California","Small","Bike",1707,4.2,0.8,"CA","West"
"875","Mountlake Terrace city","Washington","Small","Bike",41,0.4,0.3,"WA","West"
"876","Mukilteo city","Washington","Small","Bike",31,0.3,0.3,"WA","West"
"877","Muncie city","Indiana","Small","Bike",452,1.6,0.5,"IN","North Central"
"878","Mundelein village","Illinois","Small","Bike",29,0.2,0.2,"IL","North Central"
"879","Munster town","Indiana","Small","Bike",14,0.1,0.2,"IN","North Central"
"880","Murray city","Utah","Small","Bike",127,0.5,0.3,"UT","West"
"881","Murrysville municipality","Pennsylvania","Small","Bike",23,0.2,0.3,"PA","Northeast"
"882","Muscatine city","Iowa","Small","Bike",9,0.1,0.1,"IA","North Central"
"883","Muskego city","Wisconsin","Small","Bike",0,0,0.2,"WI","North Central"
"884","Muskegon city","Michigan","Small","Bike",63,0.5,0.4,"MI","North Central"
"885","Muskogee city","Oklahoma","Small","Bike",5,0,0.1,"OK","South"
"886","Myrtle Beach city","South Carolina","Small","Bike",189,1.5,0.9,"SC","South"
"887","Nacogdoches city","Texas","Small","Bike",108,0.8,0.6,"TX","South"
"888","Nampa city","Idaho","Small","Bike",88,0.3,0.2,"ID","West"
"889","Napa city","California","Small","Bike",320,0.9,0.5,"CA","West"
"890","Naples city","Florida","Small","Bike",121,2,1.2,"FL","South"
"891","Nashua city","New Hampshire","Small","Bike",71,0.2,0.2,"NH","Northeast"
"892","National City city","California","Small","Bike",161,0.6,0.4,"CA","West"
"893","Naugatuck borough","Connecticut","Small","Bike",0,0,0.2,"CT","Northeast"
"894","Neenah city","Wisconsin","Small","Bike",73,0.6,0.4,"WI","North Central"
"895","New Albany city","Indiana","Small","Bike",29,0.2,0.2,"IN","North Central"
"896","New Bedford city","Massachusetts","Small","Bike",119,0.3,0.2,"MA","Northeast"
"897","New Berlin city","Wisconsin","Small","Bike",70,0.3,0.3,"WI","North Central"
"898","New Bern city","North Carolina","Small","Bike",18,0.2,0.2,"NC","South"
"899","New Braunfels city","Texas","Small","Bike",56,0.2,0.2,"TX","South"
"900","New Brighton city","Minnesota","Small","Bike",36,0.3,0.3,"MN","North Central"
"901","New Britain city","Connecticut","Small","Bike",54,0.2,0.2,"CT","Northeast"
"902","New Brunswick city","New Jersey","Small","Bike",240,1,0.4,"NJ","Northeast"
"903","New Castle city","Pennsylvania","Small","Bike",68,0.8,0.9,"PA","Northeast"
"904","New Hope city","Minnesota","Small","Bike",61,0.6,0.4,"MN","North Central"
"905","New Iberia city","Louisiana","Small","Bike",48,0.4,0.4,"LA","South"
"906","New Lenox village","Illinois","Small","Bike",12,0.1,0.2,"IL","North Central"
"907","New London city","Connecticut","Small","Bike",16,0.1,0.1,"CT","Northeast"
"908","New Rochelle city","New York","Small","Bike",30,0.1,0.1,"NY","Northeast"
"909","New Smyrna Beach city","Florida","Small","Bike",44,0.5,0.5,"FL","South"
"910","Newark city","California","Small","Bike",79,0.4,0.3,"CA","West"
"911","Newark city","Delaware","Small","Bike",328,2.4,0.7,"DE","South"
"912","Newark city","Ohio","Small","Bike",134,0.6,0.4,"OH","North Central"
"913","Newberg city","Oregon","Small","Bike",173,1.6,1,"OR","West"
"914","Newburgh city","New York","Small","Bike",67,0.6,0.7,"NY","Northeast"
"915","Newnan city","Georgia","Small","Bike",16,0.1,0.2,"GA","South"
"916","Newport Beach city","California","Small","Bike",378,0.9,0.4,"CA","West"
"917","Newport city","Rhode Island","Small","Bike",333,2.4,1.1,"RI","Northeast"
"918","Newton city","Massachusetts","Small","Bike",470,1.1,0.3,"MA","Northeast"
"919","Niagara Falls city","New York","Small","Bike",72,0.3,0.2,"NY","Northeast"
"920","Nicholasville city","Kentucky","Small","Bike",0,0,0.3,"KY","South"
"921","Niles village","Illinois","Small","Bike",116,0.9,0.8,"IL","North Central"
"922","Noblesville city","Indiana","Small","Bike",26,0.1,0.1,"IN","North Central"
"923","Nogales city","Arizona","Small","Bike",8,0.1,0.2,"AZ","West"
"924","Norco city","California","Small","Bike",14,0.1,0.2,"CA","West"
"925","Norfolk city","Nebraska","Small","Bike",55,0.5,0.4,"NE","North Central"
"926","Normal town","Illinois","Small","Bike",317,1.2,0.4,"IL","North Central"
"927","Norristown borough","Pennsylvania","Small","Bike",182,1.1,0.8,"PA","Northeast"
"928","North Augusta city","South Carolina","Small","Bike",24,0.3,0.3,"SC","South"
"929","North Chicago city","Illinois","Small","Bike",9,0.1,0.1,"IL","North Central"
"930","North Lauderdale city","Florida","Small","Bike",98,0.5,0.5,"FL","South"
"931","North Little Rock city","Arkansas","Small","Bike",38,0.1,0.2,"AR","South"
"932","North Miami Beach city","Florida","Small","Bike",103,0.5,0.4,"FL","South"
"933","North Miami city","Florida","Small","Bike",0,0,0.2,"FL","South"
"934","North Olmsted city","Ohio","Small","Bike",20,0.1,0.1,"OH","North Central"
"935","North Plainfield borough","New Jersey","Small","Bike",136,1.1,0.9,"NJ","Northeast"
"936","North Platte city","Nebraska","Small","Bike",37,0.3,0.3,"NE","North Central"
"937","North Port city","Florida","Small","Bike",139,0.6,0.2,"FL","South"
"938","North Richland Hills city","Texas","Small","Bike",42,0.1,0.1,"TX","South"
"939","North Ridgeville city","Ohio","Small","Bike",17,0.1,0.2,"OH","North Central"
"940","North Royalton city","Ohio","Small","Bike",42,0.3,0.2,"OH","North Central"
"941","North Tonawanda city","New York","Small","Bike",28,0.2,0.2,"NY","Northeast"
"942","Northampton city","Massachusetts","Small","Bike",473,3.1,0.9,"MA","Northeast"
"943","Northbrook village","Illinois","Small","Bike",27,0.2,0.2,"IL","North Central"
"944","Northfield city","Minnesota","Small","Bike",212,1.9,0.7,"MN","North Central"
"945","Northglenn city","Colorado","Small","Bike",48,0.3,0.3,"CO","West"
"946","Northport city","Alabama","Small","Bike",6,0.1,0.1,"AL","South"
"947","Norton Shores city","Michigan","Small","Bike",62,0.6,0.5,"MI","North Central"
"948","Norwalk city","Connecticut","Small","Bike",81,0.2,0.1,"CT","Northeast"
"949","Norwich city","Connecticut","Small","Bike",6,0,0.1,"CT","Northeast"
"950","Novato city","California","Small","Bike",133,0.5,0.4,"CA","West"
"951","Novi city","Michigan","Small","Bike",100,0.4,0.3,"MI","North Central"
"952","Oak Creek city","Wisconsin","Small","Bike",12,0.1,0.1,"WI","North Central"
"953","Oak Forest city","Illinois","Small","Bike",0,0,0.2,"IL","North Central"
"954","Oak Harbor city","Washington","Small","Bike",12,0.1,0.2,"WA","West"
"955","Oak Lawn village","Illinois","Small","Bike",37,0.1,0.1,"IL","North Central"
"956","Oak Park city","Michigan","Small","Bike",47,0.4,0.4,"MI","North Central"
"957","Oak Park village","Illinois","Small","Bike",462,1.7,0.6,"IL","North Central"
"958","Oak Ridge city","Tennessee","Small","Bike",13,0.1,0.1,"TN","South"
"959","Oakdale city","California","Small","Bike",81,1,0.7,"CA","West"
"960","Oakdale city","Minnesota","Small","Bike",43,0.3,0.2,"MN","North Central"
"961","Oakland Park city","Florida","Small","Bike",166,0.8,0.5,"FL","South"
"962","Oakley city","California","Small","Bike",90,0.6,0.4,"CA","West"
"963","Ocala city","Florida","Small","Bike",210,1,0.5,"FL","South"
"964","Ocoee city","Florida","Small","Bike",0,0,0.2,"FL","South"
"965","O'Fallon city","Illinois","Small","Bike",20,0.1,0.2,"IL","North Central"
"966","O'Fallon city","Missouri","Small","Bike",41,0.1,0.1,"MO","North Central"
"967","Ogden city","Utah","Small","Bike",223,0.6,0.3,"UT","West"
"968","Olive Branch city","Mississippi","Small","Bike",0,0,0.2,"MS","South"
"969","Olympia city","Washington","Small","Bike",950,4.1,1.2,"WA","West"
"970","Opelika city","Alabama","Small","Bike",24,0.2,0.1,"AL","South"
"971","Oregon City city","Oregon","Small","Bike",52,0.4,0.3,"OR","West"
"972","Oregon city","Ohio","Small","Bike",0,0,0.3,"OH","North Central"
"973","Orem city","Utah","Small","Bike",539,1.3,0.4,"UT","West"
"974","Orland Park village","Illinois","Small","Bike",42,0.2,0.1,"IL","North Central"
"975","Ormond Beach city","Florida","Small","Bike",161,1,0.5,"FL","South"
"976","Oro Valley town","Arizona","Small","Bike",62,0.4,0.3,"AZ","West"
"977","Oshkosh city","Wisconsin","Small","Bike",380,1.2,0.5,"WI","North Central"
"978","Ossining village","New York","Small","Bike",7,0.1,0.1,"NY","Northeast"
"979","Oswego village","Illinois","Small","Bike",13,0.1,0.1,"IL","North Central"
"980","Ottumwa city","Iowa","Small","Bike",75,0.7,0.6,"IA","North Central"
"981","Oviedo city","Florida","Small","Bike",39,0.2,0.3,"FL","South"
"982","Owasso city","Oklahoma","Small","Bike",43,0.3,0.3,"OK","South"
"983","Owatonna city","Minnesota","Small","Bike",90,0.7,0.5,"MN","North Central"
"984","Owensboro city","Kentucky","Small","Bike",144,0.6,0.3,"KY","South"
"985","Oxford city","Alabama","Small","Bike",4,0,0.1,"AL","South"
"986","Oxford city","Mississippi","Small","Bike",108,1.3,1,"MS","South"
"987","Oxford city","Ohio","Small","Bike",158,1.8,1,"OH","North Central"
"988","Pacifica city","California","Small","Bike",22,0.1,0.1,"CA","West"
"989","Paducah city","Kentucky","Small","Bike",41,0.4,0.4,"KY","South"
"990","Palatine village","Illinois","Small","Bike",124,0.3,0.3,"IL","North Central"
"991","Palm Beach Gardens city","Florida","Small","Bike",68,0.3,0.2,"FL","South"
"992","Palm Coast city","Florida","Small","Bike",57,0.2,0.2,"FL","South"
"993","Palm Desert city","California","Small","Bike",105,0.6,0.4,"CA","West"
"994","Palm Springs city","California","Small","Bike",179,0.9,0.5,"CA","West"
"995","Palm Springs village","Florida","Small","Bike",8,0.1,0.1,"FL","South"
"996","Palmetto Bay village","Florida","Small","Bike",32,0.3,0.3,"FL","South"
"997","Palo Alto city","California","Small","Bike",2562,8.5,1.1,"CA","West"
"998","Panama City city","Florida","Small","Bike",213,1.3,0.8,"FL","South"
"999","Papillion city","Nebraska","Small","Bike",14,0.1,0.2,"NE","North Central"
"1000","Paradise town","California","Small","Bike",92,1,1,"CA","West"
"1001","Paragould city","Arkansas","Small","Bike",0,0,0.3,"AR","South"
"1002","Paramount city","California","Small","Bike",173,0.8,0.4,"CA","West"
"1003","Paramus borough","New Jersey","Small","Bike",0,0,0.3,"NJ","Northeast"
"1004","Paris city","Texas","Small","Bike",79,0.8,0.7,"TX","South"
"1005","Park Forest village","Illinois","Small","Bike",23,0.2,0.3,"IL","North Central"
"1006","Park Ridge city","Illinois","Small","Bike",30,0.2,0.2,"IL","North Central"
"1007","Parker town","Colorado","Small","Bike",40,0.2,0.2,"CO","West"
"1008","Parkersburg city","West Virginia","Small","Bike",59,0.5,0.4,"WV","South"
"1009","Parkland city","Florida","Small","Bike",0,0,0.4,"FL","South"
"1010","Parma city","Ohio","Small","Bike",0,0,0.1,"OH","North Central"
"1011","Parma Heights city","Ohio","Small","Bike",10,0.1,0.2,"OH","North Central"
"1012","Pascagoula city","Mississippi","Small","Bike",47,0.5,0.5,"MS","South"
"1013","Pasco city","Washington","Small","Bike",0,0,0.1,"WA","West"
"1014","Passaic city","New Jersey","Small","Bike",234,0.9,0.6,"NJ","Northeast"
"1015","Patterson city","California","Small","Bike",98,1.3,1.2,"CA","West"
"1016","Pawtucket city","Rhode Island","Small","Bike",208,0.6,0.3,"RI","Northeast"
"1017","Peabody city","Massachusetts","Small","Bike",71,0.3,0.2,"MA","Northeast"
"1018","Peachtree City city","Georgia","Small","Bike",41,0.3,0.3,"GA","South"
"1019","Pearl city","Mississippi","Small","Bike",12,0.1,0.2,"MS","South"
"1020","Pearland city","Texas","Small","Bike",0,0,0.1,"TX","South"
"1021","Peekskill city","New York","Small","Bike",31,0.3,0.4,"NY","Northeast"
"1022","Pekin city","Illinois","Small","Bike",54,0.4,0.3,"IL","North Central"
"1023","Pelham city","Alabama","Small","Bike",0,0,0.3,"AL","South"
"1024","Pensacola city","Florida","Small","Bike",227,0.9,0.5,"FL","South"
"1025","Perris city","California","Small","Bike",20,0.1,0.1,"CA","West"
"1026","Perrysburg city","Ohio","Small","Bike",8,0.1,0.1,"OH","North Central"
"1027","Perth Amboy city","New Jersey","Small","Bike",33,0.2,0.2,"NJ","Northeast"
"1028","Petaluma city","California","Small","Bike",437,1.5,0.5,"CA","West"
"1029","Petersburg city","Virginia","Small","Bike",32,0.3,0.3,"VA","South"
"1030","Pflugerville city","Texas","Small","Bike",40,0.2,0.3,"TX","South"
"1031","Pharr city","Texas","Small","Bike",35,0.2,0.2,"TX","South"
"1032","Phenix City city","Alabama","Small","Bike",54,0.4,0.4,"AL","South"
"1033","Pico Rivera city","California","Small","Bike",255,1,0.4,"CA","West"
"1034","Pine Bluff city","Arkansas","Small","Bike",28,0.2,0.1,"AR","South"
"1035","Pinellas Park city","Florida","Small","Bike",165,0.8,0.5,"FL","South"
"1036","Piqua city","Ohio","Small","Bike",27,0.3,0.3,"OH","North Central"
"1037","Pittsburg city","California","Small","Bike",52,0.2,0.2,"CA","West"
"1038","Pittsburg city","Kansas","Small","Bike",133,1.5,0.7,"KS","North Central"
"1039","Pittsfield city","Massachusetts","Small","Bike",185,0.9,0.4,"MA","Northeast"
"1040","Placentia city","California","Small","Bike",274,1.2,0.5,"CA","West"
"1041","Plainfield city","New Jersey","Small","Bike",288,1.1,0.5,"NJ","Northeast"
"1042","Plainfield town","Indiana","Small","Bike",9,0.1,0.1,"IN","North Central"
"1043","Plainfield village","Illinois","Small","Bike",0,0,0.2,"IL","North Central"
"1044","Plainview city","Texas","Small","Bike",14,0.2,0.2,"TX","South"
"1045","Plant City city","Florida","Small","Bike",112,0.7,0.4,"FL","South"
"1046","Plantation city","Florida","Small","Bike",65,0.1,0.1,"FL","South"
"1047","Pleasant Grove city","Utah","Small","Bike",22,0.2,0.2,"UT","West"
"1048","Pleasant Hill city","California","Small","Bike",119,0.7,0.5,"CA","West"
"1049","Pleasant Prairie village","Wisconsin","Small","Bike",0,0,0.2,"WI","North Central"
"1050","Pleasanton city","California","Small","Bike",277,0.8,0.4,"CA","West"
"1051","Pleasantville city","New Jersey","Small","Bike",18,0.2,0.3,"NJ","Northeast"
"1052","Plum borough","Pennsylvania","Small","Bike",0,0,0.2,"PA","Northeast"
"1053","Plymouth city","Minnesota","Small","Bike",197,0.5,0.3,"MN","North Central"
"1054","Pocatello city","Idaho","Small","Bike",362,1.4,0.5,"ID","West"
"1055","Ponca City city","Oklahoma","Small","Bike",6,0.1,0.1,"OK","South"
"1056","Pontiac city","Michigan","Small","Bike",31,0.1,0.2,"MI","North Central"
"1057","Pooler city","Georgia","Small","Bike",47,0.5,0.6,"GA","South"
"1058","Port Arthur city","Texas","Small","Bike",126,0.6,0.4,"TX","South"
"1059","Port Chester village","New York","Small","Bike",53,0.3,0.4,"NY","Northeast"
"1060","Port Hueneme city","California","Small","Bike",112,1.2,0.9,"CA","West"
"1061","Port Huron city","Michigan","Small","Bike",218,1.9,1.1,"MI","North Central"
"1062","Port Orange city","Florida","Small","Bike",67,0.3,0.3,"FL","South"
"1063","Portage city","Indiana","Small","Bike",27,0.2,0.3,"IN","North Central"
"1064","Portage city","Michigan","Small","Bike",37,0.2,0.1,"MI","North Central"
"1065","Porterville city","California","Small","Bike",231,1.2,0.7,"CA","West"
"1066","Portland city","Maine","Small","Bike",660,1.8,0.6,"ME","Northeast"
"1067","Portsmouth city","New Hampshire","Small","Bike",199,1.6,0.9,"NH","Northeast"
"1068","Portsmouth city","Ohio","Small","Bike",21,0.3,0.4,"OH","North Central"
"1069","Portsmouth city","Virginia","Small","Bike",269,0.6,0.2,"VA","South"
"1070","Post Falls city","Idaho","Small","Bike",58,0.5,0.6,"ID","West"
"1071","Pottstown borough","Pennsylvania","Small","Bike",55,0.5,0.4,"PA","Northeast"
"1072","Poughkeepsie city","New York","Small","Bike",107,0.8,0.5,"NY","Northeast"
"1073","Poway city","California","Small","Bike",180,0.8,0.5,"CA","West"
"1074","Prairie Village city","Kansas","Small","Bike",40,0.3,0.3,"KS","North Central"
"1075","Prattville city","Alabama","Small","Bike",0,0,0.2,"AL","South"
"1076","Prescott city","Arizona","Small","Bike",200,1.4,0.9,"AZ","West"
"1077","Prescott Valley town","Arizona","Small","Bike",131,0.8,0.8,"AZ","West"
"1078","Prichard city","Alabama","Small","Bike",10,0.1,0.2,"AL","South"
"1079","Prior Lake city","Minnesota","Small","Bike",10,0.1,0.1,"MN","North Central"
"1080","Pullman city","Washington","Small","Bike",321,2.4,1,"WA","West"
"1081","Puyallup city","Washington","Small","Bike",94,0.5,0.4,"WA","West"
"1082","Queen Creek town","Arizona","Small","Bike",0,0,0.3,"AZ","West"
"1083","Quincy city","Illinois","Small","Bike",31,0.2,0.2,"IL","North Central"
"1084","Quincy city","Massachusetts","Small","Bike",70,0.1,0.1,"MA","Northeast"
"1085","Racine city","Wisconsin","Small","Bike",89,0.3,0.3,"WI","North Central"
"1086","Radcliff city","Kentucky","Small","Bike",7,0.1,0.1,"KY","South"
"1087","Rahway city","New Jersey","Small","Bike",13,0.1,0.1,"NJ","Northeast"
"1088","Ramsey city","Minnesota","Small","Bike",17,0.1,0.2,"MN","North Central"
"1089","Rancho Cordova city","California","Small","Bike",229,0.8,0.4,"CA","West"
"1090","Rancho Palos Verdes city","California","Small","Bike",24,0.1,0.2,"CA","West"
"1091","Rancho Santa Margarita city","California","Small","Bike",47,0.2,0.2,"CA","West"
"1092","Rapid City city","South Dakota","Small","Bike",225,0.7,0.3,"SD","North Central"
"1093","Raytown city","Missouri","Small","Bike",0,0,0.2,"MO","North Central"
"1094","Reading city","Pennsylvania","Small","Bike",186,0.6,0.3,"PA","Northeast"
"1095","Redding city","California","Small","Bike",349,1,0.4,"CA","West"
"1096","Redlands city","California","Small","Bike",426,1.4,0.7,"CA","West"
"1097","Redmond city","Oregon","Small","Bike",64,0.6,0.6,"OR","West"
"1098","Redmond city","Washington","Small","Bike",359,1.2,0.5,"WA","West"
"1099","Redondo Beach city","California","Small","Bike",482,1.3,0.5,"CA","West"
"1100","Redwood City city","California","Small","Bike",642,1.7,0.6,"CA","West"
"1101","Reedley city","California","Small","Bike",76,0.8,0.6,"CA","West"
"1102","Renton city","Washington","Small","Bike",71,0.1,0.1,"WA","West"
"1103","Revere city","Massachusetts","Small","Bike",27,0.1,0.1,"MA","Northeast"
"1104","Rexburg city","Idaho","Small","Bike",486,4.5,1.6,"ID","West"
"1105","Reynoldsburg city","Ohio","Small","Bike",18,0.1,0.2,"OH","North Central"
"1106","Richfield city","Minnesota","Small","Bike",158,0.8,0.4,"MN","North Central"
"1107","Richland city","Washington","Small","Bike",175,0.8,0.4,"WA","West"
"1108","Richmond city","Indiana","Small","Bike",62,0.4,0.4,"IN","North Central"
"1109","Richmond city","Kentucky","Small","Bike",278,1.9,1.4,"KY","South"
"1110","Ridgecrest city","California","Small","Bike",195,1.6,0.8,"CA","West"
"1111","Ridgeland city","Mississippi","Small","Bike",17,0.1,0.2,"MS","South"
"1112","Ridgewood village","New Jersey","Small","Bike",11,0.1,0.2,"NJ","Northeast"
"1113","Rio Rancho city","New Mexico","Small","Bike",153,0.4,0.2,"NM","West"
"1114","Riverbank city","California","Small","Bike",8,0.1,0.2,"CA","West"
"1115","Riverside city","Ohio","Small","Bike",0,0,0.3,"OH","North Central"
"1116","Riverton city","Utah","Small","Bike",21,0.1,0.1,"UT","West"
"1117","Riviera Beach city","Florida","Small","Bike",53,0.4,0.4,"FL","South"
"1118","Roanoke city","Virginia","Small","Bike",72,0.2,0.1,"VA","South"
"1119","Rochester city","New Hampshire","Small","Bike",1,0,0.1,"NH","Northeast"
"1120","Rochester Hills city","Michigan","Small","Bike",122,0.3,0.2,"MI","North Central"
"1121","Rock Hill city","South Carolina","Small","Bike",107,0.3,0.3,"SC","South"
"1122","Rock Island city","Illinois","Small","Bike",93,0.5,0.4,"IL","North Central"
"1123","Rock Springs city","Wyoming","Small","Bike",14,0.1,0.2,"WY","West"
"1124","Rockledge city","Florida","Small","Bike",70,0.6,0.4,"FL","South"
"1125","Rocklin city","California","Small","Bike",59,0.2,0.2,"CA","West"
"1126","Rockville Centre village","New York","Small","Bike",7,0.1,0.1,"NY","Northeast"
"1127","Rockville city","Maryland","Small","Bike",161,0.5,0.3,"MD","South"
"1128","Rockwall city","Texas","Small","Bike",0,0,0.2,"TX","South"
"1129","Rocky Mount city","North Carolina","Small","Bike",23,0.1,0.1,"NC","South"
"1130","Rocky River city","Ohio","Small","Bike",16,0.2,0.3,"OH","North Central"
"1131","Rogers city","Arkansas","Small","Bike",39,0.1,0.1,"AR","South"
"1132","Rohnert Park city","California","Small","Bike",504,2.5,1.2,"CA","West"
"1133","Rolling Meadows city","Illinois","Small","Bike",50,0.4,0.4,"IL","North Central"
"1134","Rome city","Georgia","Small","Bike",154,1.1,0.7,"GA","South"
"1135","Rome city","New York","Small","Bike",19,0.1,0.2,"NY","Northeast"
"1136","Romeoville village","Illinois","Small","Bike",0,0,0.2,"IL","North Central"
"1137","Romulus city","Michigan","Small","Bike",0,0,0.3,"MI","North Central"
"1138","Roseburg city","Oregon","Small","Bike",280,3.4,1.8,"OR","West"
"1139","Roselle borough","New Jersey","Small","Bike",18,0.2,0.2,"NJ","Northeast"
